req_name,req_aim,illegal,adv,topic,city,explain
Abandoned Vehicle,human,yes,yes,abandoned bike/vehicle,Bloomington,-
Accessibility Problem,human,no,yes,blocked passage,Bloomington,-
Animal Control,non-human,no,maybe,animal/pest,Bloomington,-
Biking & Walking,human,no,no,blocked passage,Bloomington,-
Blocked Sidewalk,human,maybe,yes,blocked passage,Bloomington,-
Blocked Street,uncertain,maybe,maybe,blocked passage,Bloomington,-
Bus Services (Bloomington Transit),non-human,no,no,information request,Bloomington,-
Business,human,maybe,maybe,business,Bloomington,-
City Performance,human,maybe,yes,city feedback,Bloomington,-
Close Calls,human,yes,no,health concern/public safety,Bloomington,Near traffic accidents
Debris Removal,non-human,no,no,waste/cleanup services,Bloomington,-
Drainage or Runoff,non-human,no,no,city infrastructure,Bloomington,-
Excessive Growth,non-human,no,maybe,landscaping request/concern,Bloomington,-
Fire Hazards,non-human,maybe,maybe,health concern/public safety,Bloomington,-
Food Truck Issues,human,maybe,yes,business,Bloomington,-
Graffiti,human,yes,yes,graffiti,Bloomington,-
Inaccessible Parking,human,maybe,yes,blocked passage,Bloomington,-
Leaf Collection,non-human,no,no,waste/cleanup services,Bloomington,-
Line of Sight,non-human,no,no,roadway/roadway lighting,Bloomington,Something blocking traffic's line of sight
Other,uncertain,maybe,no,other/miscellaneous,Bloomington,-
Parking Meters and Tickets,non-human,no,no,city infrastructure,Bloomington,-
Parking on Unimproved Surface,non-human,no,no,roadway/roadway lighting,Bloomington,-
Parking Permits,human,no,no,city infrastructure,Bloomington,-
Parks & Playgrounds,non-human,no,no,city infrastructure,Bloomington,-
Parks & Rec Buildings,non-human,no,no,city infrastructure,Bloomington,-
Parks & Rec Programs,non-human,no,no,city infrastructure,Bloomington,-
"Potholes, Other Street Repair",non-human,no,no,roadway/roadway lighting,Bloomington,-
Public Works Projects,non-human,no,no,information request,Bloomington,-
Recycling,non-human,no,no,waste/cleanup services,Bloomington,-
Report issues with BIRD scooters (black),human,no,yes,taxi/ride-sharing,Bloomington,-
Report issues with Lime scooters (green),human,no,yes,taxi/ride-sharing,Bloomington,-
"Scooters, Bike-share and Related Issues",human,maybe,yes,taxi/ride-sharing,Bloomington,-
Sewer Problems (Sanitary Sewers),non-human,no,no,city infrastructure,Bloomington,-
Sewer Problems (Storm Sewers),non-human,no,no,city infrastructure,Bloomington,-
Sidewalk & Curb Complaints,non-human,no,yes,city infrastructure,Bloomington,-
Sidewalk Requests,non-human,no,no,city infrastructure,Bloomington,-
Sidewalk Snow Removal,non-human,no,no,blocked passage,Bloomington,-
Smoking Violation,human,yes,yes,health concern/public safety,Bloomington,-
Street & Traffic Signs,non-human,no,no,roadway/roadway lighting,Bloomington,-
Street Lights,non-human,no,no,roadway/roadway lighting,Bloomington,-
Street Snow Removal,non-human,no,no,blocked passage,Bloomington,-
Taxi Complaints,human,maybe,yes,taxi/ride-sharing,Bloomington,-
Temporary Signage w/o permit,human,yes,yes,other/miscellaneous,Bloomington,-
