Bloomington_IN,Boston_MA,"Brookline, MA","Chicago, IL",Peoria_IL,San Francisco_CA
Debris Removal,New Tree Requests,Pothole,Abandoned Vehicle Complaint,Private Business,Abandoned Motor Vehicles
Excessive Growth,Illegal Graffiti,Graffiti,"Air Pollution, Odor or Dust Complaint",Taxi Cab,Blocked Driveway & Illegal Parking
Graffiti,Litter,Unshoveled Sidewalk,Aircraft Noise Complaint,Excessive Growth-Private Property,Blocked Pedestrian Walkway
Leaf Collection,Overflowing Trash Can,Streetlight,Alley Light Out Complaint,Excessive Growth–Vacant Public Lot,Curb & Sidewalk Issues
Recycling,Residential Trash out Illegally,Roadway Plowing/Sanding,Alley Pothole Complaint,Illegal Disposal of Garbage,Damaged Public Property
Trash,Dead Animal Pick-up,Abandoned Bike,Alley Sewer Inspection Request,Illegal Dumping,Encampment
Yard Waste,Needle Clean-up,Broken Parking Meter,Animal In Trap Complaint,Rodents,Flooding & Sewer Issues
Biking & Walking,Rodent Sighting,Sidewalk Obstruction/Repair,Asbestos Complaint,Trash/Litter,Garbage Containers
Blocked Sidewalk,Broken Park Equipment,Damaged Sign,Bee/Wasp Removal,Yard Waste,Graffiti
Blocked Street,Broken Sidewalk,Public Trees,Bicycle Request/Complaint,Arson Tips,Illegal Postings
Bus Services (Bloomington Transit),Damaged Sign,Park Playground Equipment,Blue Recycling Cart,Citizen Fire Concern,Noise Issue
Close Calls,Pothole,,Buildings - Boiler Violation,Fire Hazards,Park Requests
Inaccessible Parking,Abandoned Bicycle,,Buildings - Electrical Violation,Fire Permit Issue,Parking & Traffic Sign Repair
Parking Meters and Tickets,Abandoned Vehicle,,Buildings - Elevator Violation,Open Burning,Pothole & Street Issues
Parking on Unimproved Surface,Illegal Parking,,Buildings - Furnace Violation,Sewer Problems,Street or Sidewalk Cleaning
Parking Permits,Park Lights,,Buildings - Plumbing Violation,Unsafe Structures,Streetlight Repair
"Potholes, Other Street Repair",Street Lights,,Bungalow Rehab/Purchase Information Request,Anonymous Tips,Tree Maintenance
"Scooters, Bike-share and Related Issues",Traffic Signal,,Cab Feedback,Illegal Drug Activity,
Sidewalk & Curb Complaints,Dead Tree Removal,,Cable TV Complaint,Abandoned Vehicle (on Street),
Sidewalk Requests,Tree Pruning,,City Vehicle Sticker Violation,Abandoned Vehicle (Private Property),
Sidewalk Snow Removal,Other,,Clean Vacant Lot Request,"Blocked Street, Alley, Sidewalk",
Street & Traffic Signs,,,Clean and Green Program Request,Broken Parking Meter,
Street Lights,,,Construction & Demolition Complaint,Dead Animal in Street,
Street Snow Removal,,,Consumer Fraud Complaint,Drainage/Flooding Problems,
Taxi Complaints,,,Consumer Retail Store Complaint,Graffiti on Private Property,
Traffic Related Complaints,,,Coyote Interaction Complaint,Graffiti on Public Property,
Traffic Signals,,,Daycare Center,Inaccessible Parking,
Traffic Suggestions,,,Dead Animal Pick-Up Request,Mailbox Knocked Down,
Parks & Playgrounds,,,Dead Bird,Parking on Unpaved Surface,
Parks & Rec Buildings,,,E-Scooter,"Potholes, Street Repair",
Parks & Rec Programs,,,Equipment Noise Complaint,Sidewalk and Curbs,
Trails,,,Extreme Weather Notification,Snow Removal Needed,
Abandoned Vehicle,,,Fire Safety Inspection Request,Street Lights,
Animal Control,,,Fly Dumping Complaint,Tire Removal,
Fire Hazards,,,Garbage Cart Maintenance,Traffic Related Complaints,
Line of Sight,,,Gas Station and Storage Tank Complaint,Traffic Signals,
