date	hour	drivers_onduty	t_onduty	t_occupied	n_pass	n_trip	n_mile	earnings	precip
2010-01-01	0	21059	17162.937	4229.637	46260	23586	57816.505	235750.03	0.01
2010-01-01	1	30705	22872.953	6567.611	58562	29377	91572.347	362791.21	0.01
2010-01-01	2	28853	21541.845	6029.36	53467	27196	90798.624	347947.75	0.01
2010-01-01	3	25494	18749.841	5076.086	45707	23527	82618.453	307949.68	0
2010-01-01	4	19216	13651.548	3765.046	32861	17167	66372.568	238964.76	0
2010-01-01	5	11763	8314.43	2215.475	18999	10131	41852.829	145192.99	0
2010-01-01	6	8007	5627.885	1505.799	12601	7041	30786.37	100664.88	0
2010-01-01	7	6125	4206.316	1108.833	9334	5365	24369.11	78760.62	0
2010-01-01	8	5403	3717.904	929.844	8259	4886	20328.709	66369.47	0
2010-01-01	9	6090	4251.026	967.14	9953	5678	20206.528	68108.15	0
2010-01-01	10	8410	5915.711	1268.526	14600	8094	26127.593	89729.03	0
2010-01-01	11	11081	7833.791	1721.165	20086	10918	33272.822	117725.04	0
2010-01-01	12	12867	9102.886	2034.175	24400	13124	38525.349	139309.39	0
2010-01-01	13	14354	10440.751	2372.681	27413	14756	44358.226	159135.7	0
2010-01-01	14	15607	11285.696	2658.339	28971	15557	48067.387	173019.77	0
2010-01-01	15	15969	11694.163	2792.848	30131	15848	48704.599	176854.25	0
2010-01-01	16	15909	11626.147	2796.539	29978	15640	46617.774	172375.26	0
2010-01-01	17	16834	12399.015	3026.246	32461	16614	47120.967	177256.21	0
2010-01-01	18	17398	12578.704	3029.878	31719	16577	45642.8	174810.73	0
2010-01-01	19	17812	12659.778	3182.865	33583	17233	44152.46	174501.24	0
2010-01-01	20	15630	11030.19	2563.09	28651	14729	39706.556	157293.17	0
2010-01-01	21	15287	10992.941	2533.337	28311	14495	40845.741	158023.88	0
2010-01-01	22	17049	12399.876	2965.024	32521	16672	46315.357	180390.35	0
2010-01-01	23	16171	11886.944	3106.689	29370	15305	49375.375	188245.31	0
2010-01-02	0	12705	9080.41	2251.957	28269	14725	38802.063	148648.58	0.01
2010-01-02	1	11540	7949.189	1847.484	20129	10770	33579.789	124388.88	0.01
2010-01-02	2	8979	6291.375	1436.016	15913	8471	26517.811	97917.75	0
2010-01-02	3	7098	5102.425	1161.857	12537	6634	22429.331	80450.71	0
2010-01-02	4	5587	3847.556	1021.889	9427	5005	21024.753	71563.92	0
2010-01-02	5	3084	2224.687	578.722	4390	2541	12684.924	42263.02	0
2010-01-02	6	3270	2400.517	679.912	4851	2907	15851.326	50323.31	0.01
2010-01-02	7	4311	3008.74	758.262	6323	3847	17381.425	57113.47	0
2010-01-02	8	5907	4172.567	966.794	9278	5547	20181.272	68869.73	0
2010-01-02	9	9329	6550.544	1396.102	15828	9143	27103.108	97318.68	0
2010-01-02	10	13045	9131.095	1973.068	22907	12864	35103.029	130823.01	0
2010-01-02	11	16160	11515.509	2542.439	29446	16242	41848.759	160763.95	0
2010-01-02	12	18866	13546.124	3116.595	35217	19118	47996.366	190050.28	0
2010-01-02	13	20632	15078.619	3620.114	38720	20788	52450.402	212077.56	0
2010-01-02	14	20648	15026.814	3730.272	37512	20156	55408.154	218640.73	0
2010-01-02	15	21484	15865.903	3913.363	39978	21355	57255.689	228389.02	0
2010-01-02	16	20798	15154.41	3745.713	38250	20261	53736.835	215110.09	0
2010-01-02	17	22399	16725.508	4220.439	43130	22778	58559.438	236283.74	0
2010-01-02	18	25195	18716.298	4649.633	47507	24876	61254.345	254592.62	0
2010-01-02	19	27442	20240.819	5097.356	53045	27627	64426.18	276014.27	0
2010-01-02	20	24233	17308.114	4140.903	44409	23058	57412.384	245249.42	0
2010-01-02	21	23844	17043.095	3982.285	45399	23383	59112.143	246443.6	0
2010-01-02	22	25244	18378.655	4366.262	49551	25231	64578.234	267042.68	0
2010-01-02	23	25159	18863.962	4901.613	48305	24587	74321.56	298438.12	0
2010-01-03	0	20289	14956.309	3918.293	47287	24238	61075.634	246020.97	0
2010-01-03	1	20773	14671.174	3497.341	37897	19840	59397.252	229648.99	0
2010-01-03	2	17479	12308.96	2942.792	31924	16831	52200.48	197558.92	0
2010-01-03	3	14259	10205.439	2402.777	25610	13486	45447.111	166231.88	0
2010-01-03	4	10144	6872.111	1773.742	16783	8993	36113.229	126864	0
2010-01-03	5	4448	3084.82	757.83	6561	3724	17919.548	60345.35	0
2010-01-03	6	3739	2691.673	656.885	5708	3379	16988.373	54644.08	0
2010-01-03	7	4323	3021.316	702.902	6442	3923	18554.58	60195.4	0
2010-01-03	8	5739	4056.436	886.394	9164	5431	21820.692	72523.1	0
2010-01-03	9	8822	6163.273	1263.843	15287	8664	27074.992	95549.21	0
2010-01-03	10	13526	9517.459	1983.033	24467	13643	37906.119	138807.05	0
2010-01-03	11	16930	12015.15	2577.566	30637	17075	45200.907	171721.36	0
2010-01-03	12	19473	13903.971	3172.755	35683	19627	51864.169	201647.25	0
2010-01-03	13	20724	14968.929	3489.251	38526	20983	54950.498	217986.39	0
2010-01-03	14	21725	15880.006	3869.549	39644	21729	58557.433	234096.23	0
2010-01-03	15	21800	15972.171	3974.919	39368	21536	62641.314	244149.29	0
2010-01-03	16	20504	15123.797	3830.084	36891	20303	58946.811	230557.97	0
2010-01-03	17	20589	15462.269	3836.074	37208	20464	56942.266	225081.78	0
