req_name,req_type,city,explain
Abandoned Vehicle,Human,Bloomington,-
Accessibility Problem,Non-Human,Bloomington,-
Animal Control,Non-Human,Bloomington,-
Biking & Walking,Human,Bloomington,-
Blocked Sidewalk,Non-Human,Bloomington,-
Blocked Street,Non-Human,Bloomington,-
Bus Services (Bloomington Transit),Non-Human,Bloomington,-
Business,Non-Human,Bloomington,-
City Performance,Non-Human,Bloomington,-
Close Calls,Human,Bloomington,Near traffic accidents
Debris Removal,Non-Human,Bloomington,-
Drainage or Runoff,Non-Human,Bloomington,-
Excessive Growth,Non-Human,Bloomington,-
Fire Hazards,Non-Human,Bloomington,-
Food Truck Issues,Human,Bloomington,-
Graffiti,Human,Bloomington,-
Inaccessible Parking,Non-Human,Bloomington,-
Leaf Collection,Non-Human,Bloomington,-
Line of Sight,Non-Human,Bloomington,Something blocking traffic's line of sight
Other,Other,Bloomington,-
Parking Meters and Tickets,Non-Human,Bloomington,-
Parking on Unimproved Surface,Human,Bloomington,-
Parking Permits,Human,Bloomington,-
Parks & Playgrounds,Human,Bloomington,-
Parks & Rec Buildings,Non-Human,Bloomington,-
Parks & Rec Programs,Non-Human,Bloomington,-
"Potholes, Other Street Repair",Non-Human,Bloomington,-
Public Works Projects,Non-Human,Bloomington,-
Recycling,Non-Human,Bloomington,-
Report issues with BIRD scooters (black),Human,Bloomington,-
Report issues with Lime scooters (green),Human,Bloomington,-
"Scooters, Bike-share and Related Issues",Human,Bloomington,-
Sewer Problems (Sanitary Sewers),Non-Human,Bloomington,-
Sewer Problems (Storm Sewers),Non-Human,Bloomington,-
Sidewalk & Curb Complaints,Non-Human,Bloomington,-
Sidewalk Requests,Non-Human,Bloomington,-
Sidewalk Snow Removal,Non-Human,Bloomington,-
Smoking Violation,Human,Bloomington,-
Street & Traffic Signs,Non-Human,Bloomington,-
Street Lights,Non-Human,Bloomington,-
Street Snow Removal,Non-Human,Bloomington,-
Taxi Complaints,Human,Bloomington,-
Temporary Signage w/o permit,Human,Bloomington,-
Traffic Related Complaints,Human,Bloomington,-
Traffic Signals,Non-Human,Bloomington,-
Traffic Suggestions,Human,Bloomington,-
Trails,Non-Human,Bloomington,-
Trash,Non-Human,Bloomington,-
Unsafe Buildings,Non-Human,Bloomington,-
Utilities Construction,Non-Human,Bloomington,-
Utilities Yardwork,Non-Human,Bloomington,-
Water Quality,Non-Human,Bloomington,-
Water Utility Billing Problems,Non-Human,Bloomington,-
Water Utility Problems,Non-Human,Bloomington,-
Website & Mobile Apps Feedback,Non-Human,Bloomington,-
Yard Waste,Non-Human,Bloomington,-
Abandoned Bicycle,Human ,Boston,-
Abandoned Vehicle,Human ,Boston,-
Broken Park Equipment,Non-Human,Boston,-
Broken Sidewalk,Non-Human,Boston,-
Damaged Sign,Non-Human,Boston,-
Dead Animal Pick-up,Non-Human,Boston,-
Dead Tree Removal,Non-Human,Boston,-
Illegal Graffiti,Human ,Boston,-
Illegal Parking,Human ,Boston,Complaints against human driver
Litter,Human ,Boston,Complaints against human who litter
Needle Clean-up,Human ,Boston,Could be biased based on complaints against people using drugs
New Tree Requests,Non-Human,Boston,-
Other,Other,Boston,-
Overflowing Trash Can,Non-Human,Boston,Complaints against trash
Park Lights,Non-Human,Boston,-
Pothole,Non-Human,Boston,-
Residential Trash out Illegally,Human ,Boston,Complaints against human who trashed out
Rodent Sighting,Non-Human,Boston,-
Street Lights,Non-Human,Boston,-
Traffic Signal,Non-Human,Boston,-
Tree Pruning,Non-Human,Boston,-
Abandoned Bike,Human,Brookline,-
Broken Parking Meter,Non-Human,Brookline,-
Damaged Sign,Non-Human,Brookline,-
Graffiti,Human,Brookline,-
Park Playground Equipment,Non-Human,Brookline,-
Pothole,Non-Human,Brookline,-
Public Trees,Non-Human,Brookline,-
Roadway Plowing/Sanding,Non-Human,Brookline,-
Sidewalk Obstruction/Repair,Non-Human,Brookline,-
Streetlight,Non-Human,Brookline,-
Unshoveled Sidewalk,Human,Brookline,brookline requires property owners to maintain their own sidewalks
Abandoned Motor Vehicles ,Human ,Chicago,-
"Air Pollution, Odor or Dust Complaint",Human ,Chicago,-
Aircraft Noise Complaint,Non-Human,Chicago,Noise coming from people living near Airports
Alley Light Out Complaint,Non-Human,Chicago,-
Alley Pothole Complaint,Non-Human,Chicago,-
Alley Sewer Inspection Request,Non-Human,Chicago,-
Animal In Trap Complaint,Non-Human,Chicago,"Although mainly caused by Humans, it is not a direct complaint against a human"
Asbestos Complaint,Non-Human,Chicago,-
Bee/Wasp Removal,Non-Human,Chicago,-
Bicycle Request/Complaint,Human ,Chicago,"Refers to bycicle theft, abandoned bycicles"
Blue Recycling Cart,Non-Human,Chicago,-
Buildings - Boiler Violation,Non-Human,Chicago,-
Buildings - Electrical Violation,Non-Human,Chicago,-
Buildings - Elevator Violation,Non-Human,Chicago,-
Buildings - Furnace Violation,Non-Human,Chicago,-
Buildings - Plumbing Violation,Non-Human,Chicago,-
Bungalow Rehab/Purchase Information Request,Non-Human,Chicago,-
Cab Feedback,Human ,Chicago,-
Cable TV Complaint,Non-Human,Chicago,-
City Vehicle Sticker Violation,Non-Human,Chicago,-
Clean and Green Program Request,Non-Human,Chicago,-
Clean Vacant Lot Request,Non-Human,Chicago,-
Construction & Demolition Complaint,Human ,Chicago,Complaints against humans in construction / demolition
Consumer Fraud Complaint,Human ,Chicago,-
Consumer Retail Store Complaint,Human ,Chicago,-
Coyote Interaction Complaint,Non-Human,Chicago,-
Daycare Center,Human ,Chicago,Usually complaints against humans in daycare center
Dead Animal Pick-Up Request,Non-Human,Chicago,-
Dead Bird,Non-Human,Chicago,-
E-Scooter,Human ,Chicago,-
Equipment Noise Complaint,Non-Human,Chicago,-
Extreme Weather Notification,Non-Human,Chicago,-
Fire Safety Inspection Request,Non-Human,Chicago,-
Fly Dumping Complaint,Non-Human,Chicago,-
Garbage Cart Maintenance,Non-Human,Chicago,-
Gas Station and Storage Tank Complaint,Non-Human,Chicago,Usaully refers to gas leaks 
Graffiti Removal Request,Non-Human,Chicago,-
Groceries,Non-Human,Chicago,-
Health Club,Non-Human,Chicago,-
Home Buyer Program Info Request,Non-Human,Chicago,-
Hotel/Motel - Health Department,Non-Human,Chicago,-
Inaccurate Fuel Pump Complaint,Non-Human,Chicago,-
Inaccurate Retail Scales Complaint,Non-Human,Chicago,-
Lead Inspection Request,Non-Human,Chicago,-
Licensed Pharmaceutical Representative Complaint,Human ,Chicago,-
Liquor Establishment Complaint,Human ,Chicago,Refers to compalaints agains human in charge of establishment
Low Water Pressure Complaint,Non-Human,Chicago,-
Minimum Wage Complaint,Human ,Chicago,-
Missed Garbage Pick-Up Complaint,Non-Human,Chicago,-
No Building Permit and Construction Violation,Human ,Chicago,Complaints against humans in construction / demolition
No Solicitation Complaint,Human ,Chicago,Complaints against humans soliciting
No Water Complaint,Non-Human,Chicago,-
Nuisance Animal Complaint,Non-Human,Chicago,-
Open Fire Hydrant Complaint,Non-Human,Chicago,-
Operating Without Business License Complaint,Human ,Chicago,Complaint against people running a business
Outdated Merchandise Complaint,Human ,Chicago,Complaints against human vendor
Paid Sick Leave Violation,Human ,Chicago,Complaints against human employer
Pet Wellness Check Request,Human ,Chicago,Complaint against pet-owner
Porch Inspection Request,Human ,Chicago,Complaint about someone else's property/their mainenance of it
Pothole in Street Complaint,Non-Human,Chicago,-
Protected Bike Lane - Debris Removal,Non-Human,Chicago,-
Public Vehicle/Valet Complaint,Human ,Chicago,Complaints against human driver
Pushcart Food Vendor Complaint,Human ,Chicago,-
Recycling Inspection Request,Non-Human,Chicago,-
Recycling Pick Up,Non-Human,Chicago,-
Renters and Foreclosure Complaint,Human ,Chicago,-
Report an Injured Animal,Non-Human,Chicago,-
Restaurant Complaint,Human ,Chicago,Complaint against service staff/restaurant owners
Ridesharing Complaint,Human ,Chicago,-
Rodent Baiting/Rat Complaint,Non-Human,Chicago,-
Roof and Porch Repair Program,Non-Human,Chicago,-
Sanitation Code Violation,Human ,Chicago,Complaints against human in charge of Sanitation
Sewer Cave-In Inspection Request,Non-Human,Chicago,-
Sewer Cleaning Inspection Request,Non-Human,Chicago,-
Shared Housing/Vacation Rental Complaint,Human ,Chicago,-
Sidewalk Cafe Complaint,Human ,Chicago,Complaints against human in charge of Café
Sidewalk Inspection Request,Non-Human,Chicago,-
Sign Repair Request - All Other Signs,Non-Human,Chicago,-
Sign Repair Request - Do Not Enter Sign,Non-Human,Chicago,-
